Name                           	 Owner Family	Offset  Title                                DataType   MsgType        Format
LG_UNCODED_BER_PARAMS             0x7 	0xA		0x3     "" 				     DEC16      Formatted 	  "BrstIndx=%d, RcvdBlk=%d, PackBits=%d, Residue=%d, BufOffset=%d"

// Equalizer:
LG_EQ_IN_SAMP_CAUSAL              0x7 	0xB		0x0    "EQ In Causal Samples = "            COMP16Q15     Buffer_E         ""
LG_EQ_IN_SAMP_ANTI_CAUSAL         0x7 	0xB		0x1    "EQ In ACausal Samples = "           COMP16Q15     Buffer_E         ""
LG_EQ_IN_TAPS_CAUSAL              0x7 	0xB		0x2    "EQ In Causal Taps = "               COMP16Q15     Buffer_E         ""
LG_EQ_IN_TAPS_ANTI_CAUSAL         0x7 	0xB		0x3    "EQ In ACausal Taps = "              COMP16Q15     Buffer_E         ""
LG_EQ_IN_LMS_MUE                  0x7 	0xB		0x4    "EQ In LMS MUE = "                   Q17        	  Title+Data       ""
LG_EQ_IN_SAMP_ANTI_CAUSAL_FLIP    0x7 	0xB		0x5    "LG_EQ_IN_SAMP_ANTI_CAUSAL_FLIP = "  COMP16Q15     Buffer_E         ""
//  HW EQ log points:
LG_HW_EQ_BEFORE_QUANT_CAUSAL	  0x7 	0xB		0x6    "LG_HW_EQ_BEFORE_QUANT_CAUSAL = "    COMP16Q15  Buffer_E     	   ""
LG_HW_EQ_BEFORE_QUANT_ANTI	  0x7 	0xB		0x7    "LG_HW_EQ_BEFORE_QUANT_ANTI = "	    COMP16Q15  Buffer_E     	   ""
LG_HW_EQ_BEFORE_QUANT_TAPS	  0x7 	0xB		0x8    "LG_HW_EQ_BEFORE_QUANT_TAPS = "	    COMP16Q15  Buffer_E     	   ""
LG_HW_EQ_AFTER_QUANT_CAUSAL	  0x7 	0xB		0x9    "LG_HW_EQ_AFTER_QUANT_CAUSAL = "	    COMP16Q0  Buffer_E     	   ""
LG_HW_EQ_AFTER_QUANT_ANTI	  0x7 	0xB		0xA    "LG_HW_EQ_AFTER_QUANT_ANTI = "	    COMP16Q0  Buffer_E     	   ""
LG_HW_EQ_AFTER_QUANT_TAPS	  0x7 	0xB		0xB    "LG_HW_EQ_AFTER_QUANT_TAPS = "	    COMP16Q0  Buffer_E     	   ""
LG_HW_EQ_N0			  0x7 	0xB		0xC    "LG_HW_EQ_N0 = "              	    FlpNumQ15  Title+Data     	   ""
LG_HW_EQ_REGS_READ		  0x7 	0xB		0xD    "LG_HW_EQ_REGS_READ = "		    COMP16Q15  Buffer_E     	   ""
LG_HW_EQ_REGS_WRITE		  0x7 	0xB		0xE    "LG_HW_EQ_REGS_WRITE = "		    COMP16Q15  Buffer_E     	   ""


// DRFE:
LG_DRFE_IN_SAMP			  0x7 	0xC		0x0    "Drfe Input = "                      COMP16Q15  Buffer_E     	   ""
LG_DRFE_FRAME_COUNTER             0x7 	0xC	        0x1    "FrameCounter ="                     DEC32      Title+Data     	   ""
LG_DRFE_OUT_NOISE_VAR             0x7 	0xC	        0x2    "LG_DRFE_OUT_NOISE_VAR = "           FlpNumQ15  Title+Data     	   ""
LG_DRFE_OUT_CH_LEN                0x7 	0xC	        0x3    "DRFE Out Channel Len = "            Q0         Title+Data     	   ""
LG_DRFE_OUT_MODULATION            0x7 	0xC	        0x4    "DRFE Out Modulation = "             Q0         Title+Data     	   ""
LG_DRFE_OUT_SB_EXP                0x7 	0xC	        0x5    "DRFE Out SB Fxp = "                 Q0         Title+Data     	   ""
LG_DRFE_OUT_SB                    0x7 	0xC	        0x6    "DRFE Out Soft bits = "  	    DEC8      Buffer_E       	   ""
LG_DRFE_OUT_CIR                   0x7 	0xC	        0x7    "LG_DRFE_OUT_CIR = "                 FlpNumQ15  Title+Data     	   ""
LG_DRFE_RAW_RX_DATA               0x7 	0xC	        0x8    "LG_DRFE_RAW_RX_DATA = "             DEC32      Buffer      	   ""
// LG_BEQ_RESULTS                 0x7  	0xC	       	0x9    "BEQ Results: "                      DEC16      Formatted           ""
// LG_AEQ_RESULTS                 0x7  	0xC	       	0xA    "AEQ Results: "                      DEC16      Formatted           ""

LG_DRFE_IN_GMSK_SAMP		  0x7  	0xC		0xB    "Drfe GSMK Input = "                 COMP16Q15  Buffer_E     	   ""

LG_DRFE_IN_EPSK_SAMP_SLOT_0       0x7  	0xC		0xC    "Drfe EPSK Input Slot 0 = "          COMP16Q15  Buffer_E     	   ""
LG_DRFE_IN_EPSK_SAMP_SLOT_1       0x7  	0xC		0xD    "Drfe EPSK Input Slot 1 = "          COMP16Q15  Buffer_E     	   ""
LG_DRFE_IN_EPSK_SAMP_SLOT_2       0x7 	0xC		0xE    "Drfe EPSK Input Slot 2 = "          COMP16Q15  Buffer_E     	   ""
LG_DRFE_IN_EPSK_SAMP_SLOT_3       0x7  	0xC		0xF    "Drfe EPSK Input Slot 3 = "          COMP16Q15  Buffer_E     	   ""

